id,proposal,candidate,detail
16,28,victor-iturrieta-rios,"Fui torturado por miembros de las Fuerzas Especiales de carabineros del Estado de Chile. También presencie la tortura en comisarias a menores de edad. 

La tortura de cualquier tipo, debe ser eliminada de cualquier práctica política y especialmente de parte del Estado."
17,175,claudio-patricio-montero-arratia,
18,208,claudio-patricio-montero-arratia,
19,63,claudio-patricio-montero-arratia,
20,21,claudio-patricio-montero-arratia,
21,18,claudio-patricio-montero-arratia,
22,159,claudio-patricio-montero-arratia,
23,5,claudio-patricio-montero-arratia,
24,212,claudio-patricio-montero-arratia,
25,105,claudio-patricio-montero-arratia,
26,113,claudio-patricio-montero-arratia,
27,3,claudio-patricio-montero-arratia,
28,45,claudio-patricio-montero-arratia,
29,80,claudio-patricio-montero-arratia,
30,14,claudio-patricio-montero-arratia,
31,106,claudio-patricio-montero-arratia,
32,63,claudia-lorena-subiabre-mayorga,"Como partido Amplitud lo tiene en su compromiso, como persona y candidato siempre ha sido un tema importantísimo el lograr que esta propuesta se concrete.
A mi parecer un Honorable no debe superar la suma de cuatro millones y debe rendir hasta el minimo gasto relacionado a su cargo, es la primera carta a mostrar en función del control a la corrupción."
33,252,claudio-patricio-montero-arratia,
34,42,claudio-patricio-montero-arratia,
35,100,claudio-patricio-montero-arratia,
36,88,claudio-patricio-montero-arratia,
37,23,claudio-patricio-montero-arratia,
38,98,claudio-patricio-montero-arratia,
39,202,claudio-patricio-montero-arratia,
40,88,claudia-lorena-subiabre-mayorga,Impulsar un trabajo y compromiso de todos quienes vamos en pos de la transparencia y probidad de los responsables de dirigir en diferentes áreas y niveles nuestro país.
41,79,claudio-patricio-montero-arratia,
42,99,claudio-patricio-montero-arratia,
43,171,claudio-patricio-montero-arratia,
44,102,claudio-patricio-montero-arratia,
45,101,claudio-patricio-montero-arratia,
46,21,claudia-lorena-subiabre-mayorga,"Estudiar, analizar, mejorar y modernizar la ley con una visión humanitaria y a su vez proteccionista en caso de delicuencia y/o cualquier riesgo para nuestra sociedad."
47,284,claudio-patricio-montero-arratia,
48,201,claudio-patricio-montero-arratia,
49,26,claudio-patricio-montero-arratia,
50,117,claudio-patricio-montero-arratia,
51,214,claudio-patricio-montero-arratia,
52,159,claudia-lorena-subiabre-mayorga,
53,210,claudio-patricio-montero-arratia,
54,63,karla-andrea-munoz-ramirez,"Chile es uno de los países donde los Parlamentarios reciben los más altas dietas, sin ir más lejos, llegan a ganar 36 sueldos mínimos. Esto carece totalmente de ética, pues son electos para representar a la ciudadanía, no para llenarse los bolsillos. Es un negocio redondo, de lo contrario, no se invertirían decenas de millones de pesos en las campañas políticas."
55,63,loreto-munoz-gutierrez,"Nosotros nos comprometimos como candidatos del Frente Amplio a rebajar el sueldo de los parlamentarios a la mitad, ese es mi compromiso, creo que es ofensivo para el resto de las personas que los parlamentarios reciban los sueldos que perciben actualmente."
56,175,francisco-javier-nunez-martinez,
57,63,esteban-zlatar-franulic,"- Establecer un sueldo mínimo líquido equivalente a 10,5 U.F.
- Establecer todos los sueldos públicos sean pagados en U.F. (esto implicará que no será necesaria la discusión para su reajuste debido a que será automático)
- Modificar la escala de sueldos públicos siendo los más altos 22 veces el Sueldo mínimo líquido (Contralor, Presidente, Jueces de la Corte Suprema, Senadores y otros)."
58,208,francisco-javier-nunez-martinez,
59,63,francisco-javier-nunez-martinez,
60,292,francisco-javier-nunez-martinez,
62,18,francisco-javier-nunez-martinez,
63,5,francisco-javier-nunez-martinez,
64,212,francisco-javier-nunez-martinez,
61,52,francisco-javier-nunez-martinez,
65,113,francisco-javier-nunez-martinez,
66,168,francisco-javier-nunez-martinez,
67,52,esteban-zlatar-franulic,"Dentro de mis propuestas de Equidad de Genero existe una propuesta que entrega Pre y Postnatal a los hombres cuyas parejas estén en aquella condición laboral, así el costo de contratación será equiparado y la selección de los personal será en función de capacidades y competencias y no por su genero. por lo tanto mi compromiso es absoluto para discutir, llegar a acuerdos y apoyar esta iniciativa. www.estebanzlatar.cl"
68,224,jose-manuel-santana-aburto,
69,214,jose-manuel-santana-aburto,
70,175,melissa-estefania-varas-montero,"Mi candidatura cuenta con Ideas para creer y ahí me comprometo a promover que el Estado aplique una Política Nacional de Salud Mental, ya que más de un millón de chilenos y chilenas sufre de ansiedad y 850 padece depresión (datos OMS).
Si salgo electa este tema será prioridad para mi. Por lo tanto, la propuesta que se desarrolla más arriba, y a la cual suscribo, en materia del suicidio infantil y adolescente estará incorporada en el proyecto de ley que promueva luego de ser analizada y trabajada con la sociedad civil y especialistas. Con respecto a los recursos, es materia de los gobiernos destinar los recursos, no de los parlamentarios."
71,208,jorge-brito-hasbun,"Además de lo que adscribimos en este compromiso. Nos comprometemos a establecer vínculos de trabajo colaborativo con otros países de América Latina, para que en conjunto elaboremos propuestas concretas de trabajo sobre la mitigación y adaptación del cambio climático."
72,27,francys-foix-fuentealba,"Nos comprometemos a generar las medidas necesarias para que las personas privadas de libertad, puedan ejercer su derecho a voto."
73,87,francisco-javier-nunez-martinez,
74,222,maria-jose-leiva-jopia,
75,245,maria-jose-leiva-jopia,
76,63,maria-jose-leiva-jopia,
77,294,maria-jose-leiva-jopia,
78,5,maria-jose-leiva-jopia,
79,55,veronica-garrido-bello,
80,175,veronica-garrido-bello,
81,5,veronica-garrido-bello,
82,3,veronica-garrido-bello,
83,79,veronica-garrido-bello,
84,159,veronica-garrido-bello,
85,52,francisco-munoz-le-breton,"Complementa en varios términos nuestras propuestas de equidad en condiciones a acceso laboral, costos de planes de salud, facilidad de maternidad en educación inicial en rol estudiantil y laboral. Extensión de horarios de educación pre escolar y básica para facilitar el acceso de la mujer al trabajo. Avanzar en la eficiencia de control de pago de pensiones a menores y la desfeminización de los servicios públicos relacionados a la tutela de menores."
86,42,veronica-garrido-bello,
87,292,arturo-munoz-zuniga,"No solo me comprometo a apoyar el reconocimiento de Palestina como un Estado soberano, sino que me comprometo también a hacer tanto como esté en mis manos para remover el reconocimiento diplomático de Chile hacia la Entidad Sionista, reconociendo efectivamente la soberanía del Estado palestino sobre la totalidad de los territorios reconocidos dentro de las fronteras de 1967 tal como el resto de los territorios ocupados por la Entidad Sionista a partir de 1948."
88,208,patricio-antonio-neira-pezoa,
89,98,francisco-munoz-le-breton,Proyecto de Ley.
90,175,claudia-bernardita-chavez-gonzalez,
91,87,loreto-munoz-gutierrez,
92,199,alexander-gabriel-aranguiz-meza,
93,198,alexander-gabriel-aranguiz-meza,Centros de formación en capacitación de beneficios y terminar con ficha de protección social
94,159,patricio-antonio-neira-pezoa,
95,212,patricio-antonio-neira-pezoa,
96,69,patricio-antonio-neira-pezoa,
97,2,patricio-antonio-neira-pezoa,
98,5,clara-meneses-coloma,"DEPORTES:

Fomentar el deporte, en todas sus áreas, dotando de infraestructura, incentivando a nuestros jóvenes a abandonarlo bien prevenir el flagelo de los vicios que atentan contra la vida sana."
99,208,clara-meneses-coloma,"No cegarse a lo evidente, científicos por años han venido informando sobre el cambio climático y lo que acarrea en su resultado. Es por esto que con responsabilidad social, se puede prevenir o atenuar los desastres naturales, invirtiendo para nuestra región planes de ordenamiento de Atacama para no dejarla a su suerte en catástrofes eventuales."
100,63,clara-meneses-coloma,
101,21,clara-meneses-coloma,Contar con una nueva legislación de migración con integración.
102,105,clara-meneses-coloma,"Fomentar y crear espacios de atención en salas cunas y jardines infantiles para su desarrollo integral (para los sostenedores que trabajan).
Para los jóvenes, dotar de implementos tecnológicos y fortalecer el espíritu de la investigación, fomentando la cultura. El crecimiento de nuestra región de Atacama requiere de técnicos para la vida laboral, es necesario implementar escuelas con capacidad tecnológica acorde a las necesidades de nuestra región.
Para nuestros universitarios, otorgar subsidios de alimentación, matrícula, movilización para su propósito académico. Aumentar y mantener cupos de gratuidad de educación universitaria."
103,3,clara-meneses-coloma,"Fomentar espacios culturales, espacios para la familia, sin olvidar la esencia de nuestra región de Atacama, aumentar espacios y cuidados de áreas verdes."
104,62,clara-meneses-coloma,"Toda enfermedad debe ser atendida, a cualquier paciente y tratadas como un derecho, no como una obligación en un centro de atención primaria, obligando a disminuir listas de espera."
105,80,clara-meneses-coloma,"Las autoridades tienen que dar el ejemplo, transparencia; no son intocables."
106,172,clara-meneses-coloma,"Nuestros adultos mayores se merecen el respeto de la sociedad toda, así también nuestra región de Atacama que se caracteriza por ser gente de esfuerzo y solidaria, necesita agradecerle a nuestros adultos mayores toda la vida que han dado por nuestra gente, nuestro patrimonio, nuestra vida. Es por eso que se debe aumentar las pensiones, la meta es terminar con las AFP.
Nuestros Adultos mayores deben ser subvencionados por el Estado en alimento, locomoción y vivienda si es que fuere el caso."
107,24,clara-meneses-coloma,"Crear 10.000 nuevas viviendas sociales en 10 años, mil por año."
108,173,clara-meneses-coloma,"Respetar la igualdad de género, igualdad de oportunidades, justicia social fortaleciendo políticas públicas, menos violencia y malos tratos, igualdad de remuneraciones en los trabajos."
109,224,clara-meneses-coloma,"Crear 10.000 nuevas viviendas sociales en 10 años, mil por año.
Todo recurso que se requiera por catástrofes, tragedias u otros, tendrán que ser otorgados a la comunidad de forma inmediata e íntegra."
110,277,clara-meneses-coloma,Fomentar las PYMES locales para un desarrollo de nuevos productos y dar trabajo a nuestra gente. Dar facilidad a nuestros trabajadores para que se queden en nuestra región y no se continúe con la población flotante que no deja los recursos en nuestra región de Atacama.
111,116,clara-meneses-coloma,Tal como se aplica para los demás cargos de la administración pública.
112,210,clara-meneses-coloma,
113,156,claudio-patricio-montero-arratia,
114,296,clara-meneses-coloma,"En Atacama tener los mismos beneficios que en la capital, dotar de subsidios del estado para que tengamos un transporte regional público moderno."
115,275,claudio-patricio-montero-arratia,
116,248,clara-meneses-coloma,"Creación y protección de plantas que generen energía solar y eólica como energías renovables, siendo Atacama un ejemplo de energías limpias; así, dotar a la Gran minería de energía pura solar."
117,77,claudio-patricio-montero-arratia,
118,163,clara-meneses-coloma,"Sería una herramienta de compromiso y evitaría el monopolio en la política, siempre los mismos."
119,97,claudio-patricio-montero-arratia,"Que en todos los Liceos públicos de Chile se impartan clases de conducción vial, te tal manera que al finalizar la enseñanza Media o técnico Profesional, Las y los Estudianes puedan dar su exámen para conducir y obtener su licencia de Conductor."
120,158,claudio-patricio-montero-arratia,
121,208,ivan-figueroa-llona,"Debería contar ademas con herramientas de comunicación efectiva a la ciudadanía respecto a avances, problemas, amenazas u otras que se pudiesen generar, a través de espacios televisivos gratuitos para esa instancia, de alta sintonía e incluso cadena nacional.

Si la elección es por alta dirección pública, esta debería ser aprobada por un representante de cada partido político inscrito y vigente en Chile y como parte de los movimientos y la ciudadanía en general un representante de estas, de manera de evitar su polarización partidista o manipulación.

Revisión año a año de la eficiencia que logra el organismo con los fondos asignados y la declaración de su aumento en caso de ser necesario."
122,175,ivan-figueroa-llona,"Que luego del periodo de capacitación y puesta en marcha tenga incentivos concretos (financiamiento de estudios superiores, magister, pasantias u otros que colaboraran con la capacitación continua) para los de mayores logros y sanciones efectivas, para quienes se demuestre fueron negligentes al respecto, hayan causado o no muertes."
123,63,ivan-figueroa-llona,"Cuando el parlamentario reciba un sueldo de acuerdo a su remuneración que tenia, previa al ingreso a la política, con un tope de 20 veces el sueldos mínimos, protegiendo a los que tengan ingresos menores a 5 sueldos mínimos nivelando a estos a las necesidades que les impondrá en cargo."
124,21,ivan-figueroa-llona,"La tarjeta de identificación transnacional para Arica y Tacna debe permitir no solo la circulación sino además la salud, los estudios básicos medios y superiores, el derecho al trabajo y otros. como ha sido la costumbre real y no escrita entre nuestras ciudades."
125,55,ivan-figueroa-llona,que sean penas efectivas y se lleve un registro de infractores
126,292,ivan-figueroa-llona,
127,52,ivan-figueroa-llona,"sanciones efectivas para los padres que no se comprometan mas allá del acto de fecundación, no solo en lo económico, sino también en lo afectivo"
128,18,ivan-figueroa-llona,"Exigir a las empresas sanitarias el tratamiento de aguas grises y su reincorporación a los acuíferos o su entrega como agua de regadío municipales o agricolas, exigir la optimización (riego localizado) del riego por parte de los agricultores, debiendo cumplir con este para acceder a créditos o proyectos de mejoramiento ofertados por el estado, a modo de ejemplo."
129,159,ivan-figueroa-llona,A esto se debe unir las penas de la muerte pública para quienes sean servidores públicos y sean condenados por estos delitos.
130,159,vlado-mirosevic-verdugo,
131,63,vlado-mirosevic-verdugo,
132,57,vlado-mirosevic-verdugo,
133,205,vlado-mirosevic-verdugo,
134,212,ivan-figueroa-llona,"Sancionar a aquellos funcionarios o personas que se aprovechen de las modificaciones de estos instrumentos para su enriquecimiento ilícito.

Que las planificaciones e instrumentos estén coordinados entre ellos y con las estrategias de desarrollo Regional y comunales, con los pladecos y otros.

Que la participación ciudadana corresponda a un porcentaje importante de la población y que incluya al menos a la totalidad de las organizaciones a través de sus representantes.

Que la participación ciudadana no se limite a una firma en una lista de asistencia, sino que esta se verifique en forma real y se incorporen las observaciones si corresponden a las herramientas nombradas."
135,113,ivan-figueroa-llona,
136,208,vlado-mirosevic-verdugo,
137,115,vlado-mirosevic-verdugo,
138,160,ivan-figueroa-llona,
139,63,manuel-enrique-munoz-palacios,
140,175,manuel-enrique-munoz-palacios,
141,55,jorge-brito-hasbun,
142,175,cristian-antonio-quiroz-reyes,
143,208,cristian-antonio-quiroz-reyes,
144,292,cristian-antonio-quiroz-reyes,
145,55,cristian-antonio-quiroz-reyes,
146,172,claude-routhier-cartes,"Nuestras personas mayores no pueden seguir esperando, desde el respeto hacia ellos, sus jubilaciones,  salud gratuita, esparcimiento, transporte, remedios bajo costo, lo importante es que vivan sus años de descanso, con tranquilidad, relajo , amor y sin estres. Son nuestro tesoro viviente y hay que protegerlos."
147,208,claude-routhier-cartes,"Chile y el planeta ya no pueden esperar mas, es ahora el cambio, educacion, sociedad y politica de ecologia y medio ambiente, un cambio de raiz para nuestra nuevas generaciones y campañas de reciclaje, energias renovables , empresas no contaminantes, desde un aector rural, hasta chile completo."
207,113,luis-larrain-stieb,
208,43,luis-larrain-stieb,
209,88,luis-larrain-stieb,
148,63,claude-routhier-cartes,"Reduccion del 50% o mas en sueldo y beneficios a diputados y senadores, creando un fondo con ese dinero rebajado, para saber donde van los fondos. mientras se firma el proyecto, donaré el 40 % del sueldo a instituciones, hogares, campañas, organizaciones de las comunas de mi distrito mas un 10% para un fondo en caso de carastrofe nacional. No hay que esperar una ley para hacer la rebaja efectiva. Es ahora ya."
216,316,manuel-enrique-munoz-palacios,
149,21,jose-durana-semir,Generar una nueva Ley de Migración que bien represente la actualidad del pais y nuestra región.
150,18,jose-durana-semir,"Lograr que las aguas tratadas que son devueltas al mar, sean re-incorporadas y encausadas a los cultivos de nuevas zonas agricolas, como por ejemplo Pampa Concordia en la región de Arica y Parinacota."
151,55,francesca-parodi-oppliger,
152,175,sergio-gomez-celedon,
153,63,sergio-gomez-celedon,
154,5,sergio-gomez-celedon,
155,156,sergio-gomez-celedon,
156,52,patricia-aguirre-gonzalez,Apoyar e impulsar políticas y leyes que nos conduzca a una sociedad igualitaria en términos formales y sustantivos. Es parte de mis propuestas de género.
157,175,gladys-lorena-palma-vallejos,"Legislación para establecer como política pública el destinar recursos para:
Articular los esfuerzos realizados desde el área de la salud con aquellos emanados desde el sistema escolar a fin de que las acciones tengan repercusiones para el % de los casos de NNA que no presentan depresión, pero si riesgo suicida.
Trabajos de investigación en suicidio infantil y adolescente."
158,162,julian-alcayaga-olivares,"Además, prohibiría las plantaciones de pino y eucaliptus. de la Región del Bío-Bío al norte.
Esto puede ser concretado por un proyecto de ley de varios diputados."
159,3,roberto-carlos-ovalle-molina,"La cultura debe estar al servicio de los pueblos, un pueblo con conocimiento es un pueblo indómito, trabajador, con propuestas y luchador.Para lograr que la cultura esté al servicio de los pueblos es fundamental que se financien los programas con gente idónea y capacitada, solidaria y progresista.
Utilizar todos los espacios y escuchar todas las propuestas."
160,309,mariel-fernanda-trigo-vallejos,
161,63,mariel-fernanda-trigo-vallejos,
162,175,mariel-fernanda-trigo-vallejos,
163,57,mariel-fernanda-trigo-vallejos,
164,5,mariel-fernanda-trigo-vallejos,
165,105,mariel-fernanda-trigo-vallejos,
166,100,mariel-fernanda-trigo-vallejos,
167,128,mariel-fernanda-trigo-vallejos,
168,305,jose-durana-semir,"Considero necesario lograr crear una red de programas sociales que beneficien a la clase media en caso de desempleo, enfermedad grave, o catástrofe natural. Además de dar ayuda para emprender y surgir."
169,175,carolina-saldivia-salazar,Mayor acceso a tratamientos de salud Mental especializada en diversas comunas lo que facilite una resolución de la problemática en el territorio donde viven los NNA involucrando a profesionales de la red de forma coordinada y a las familias de los NNA.
170,52,marianela-huenchor-huenchor,Realizar modificaciones a la normativa vigente y fiscalización para el cumplimiento de éstas.
171,175,julio-moises-zapata-rodriguez,"Me comprometo a apoyar y votar positivamente todos los proyectos que apoyen, mejoren y garanticen recursos para una política de salud mental, prevención del suicidio infantil, dotar al SENAME de recursos  capacitar a sus funcionarios para mejorar el trato y atención de los niños y adolescentes que llegan a sus  instituciones, mi compromiso es total, y no defraudare a los niños."
172,212,julio-moises-zapata-rodriguez,
173,154,julio-moises-zapata-rodriguez,
174,208,jorge-bustos-mellado,"se debe estudiar bien el proyecto, estoy convencido que es factible. ademas como ecologista velare por defender el medio ambiente"
175,63,jorge-bustos-mellado,Es un compromiso que se ha tomado como Frente Amplio y saliendo diputado trabajaremos para cumplir
176,175,jorge-bustos-mellado,
177,55,jorge-bustos-mellado,
178,18,jorge-bustos-mellado,
179,62,jorge-bustos-mellado,
180,252,jorge-bustos-mellado,
181,135,francesca-parodi-oppliger,"Si bien ya existen regulaciones que estipulan la necesidad de contar con accesos para personas en situación de discapacidad, muchas veces esto no se cumple. De esta forma, se debe fiscalizar el cumplimiento de esta normativa e impulsar un transporte público que sea inclusivo también en las regiones."
182,24,francesca-parodi-oppliger,"Probablemente, el plazo de 2 años no es tan realista. Pero sí se debe trabajar en esto como prioridad, principalmente con la asignación de recursos que hagan los gobiernos en el Presupuesto anual. Lo principal es que quienes sean reubicados queden en lugares conectados con el resto de la ciudad y sus servicios, para no perpetuar la segregación."
183,85,francesca-parodi-oppliger,
184,223,clara-meneses-coloma,No puede haber equidad si no tenemos todos las mismas condiciones y herramientas para poder aspirar a un bien que toda la familia sueña. Es además justo que se suba el sueldo mínimo a la par como suben también los precios de los bienes en el mercado.
185,175,alberto-eduardo-nunez-ponce,
186,63,alberto-eduardo-nunez-ponce,Por moción parlamentaria.
187,21,alberto-eduardo-nunez-ponce,
188,294,alberto-eduardo-nunez-ponce,
189,52,alberto-eduardo-nunez-ponce,
190,18,alberto-eduardo-nunez-ponce,
191,159,alberto-eduardo-nunez-ponce,
192,212,alberto-eduardo-nunez-ponce,
193,87,alberto-eduardo-nunez-ponce,
194,199,alberto-eduardo-nunez-ponce,
195,105,alberto-eduardo-nunez-ponce,
196,157,alberto-eduardo-nunez-ponce,
197,62,alberto-eduardo-nunez-ponce,
198,80,alberto-eduardo-nunez-ponce,
199,175,luis-larrain-stieb,
200,24,alberto-eduardo-nunez-ponce,
201,208,luis-larrain-stieb,
202,55,luis-larrain-stieb,
203,21,luis-larrain-stieb,
204,27,luis-larrain-stieb,
205,159,luis-larrain-stieb,
206,87,luis-larrain-stieb,
210,283,luis-larrain-stieb,
211,285,luis-larrain-stieb,
212,94,luis-larrain-stieb,
213,217,luis-larrain-stieb,
214,274,luis-larrain-stieb,
215,82,luis-larrain-stieb,
217,309,manuel-enrique-munoz-palacios,
218,208,manuel-enrique-munoz-palacios,
219,55,manuel-enrique-munoz-palacios,
220,147,sebastian-vergara-alfaro,"Cambiaría el concepto de ""guardia de seguridad"" por observadores ciudadanos que esten dotados de la capacidad de generar denuncias y sanciones frente al mal uso de espacios están reservados para las personas con capacidades diferentes. En lo demás, de ser electo me comprometo a defender/impulsar dicho proyecto."
221,316,sebastian-vergara-alfaro,
222,175,nicolas-munoz-montes,
223,55,nicolas-munoz-montes,
224,175,rosa-del-carmen-riquelme-andrades,
225,224,rosa-del-carmen-riquelme-andrades,
226,258,rosa-del-carmen-riquelme-andrades,
227,316,rosa-del-carmen-riquelme-andrades,
228,21,catalina-perez-salinas,
229,55,catalina-perez-salinas,
230,44,catalina-perez-salinas,
231,212,catalina-perez-salinas,
232,84,catalina-perez-salinas,
233,2,catalina-perez-salinas,
234,45,catalina-perez-salinas,
235,43,catalina-perez-salinas,
236,316,pablo-andres-moya-nunez,"Difundir el diagnóstico sobre la necesidad de garantizar las vías de acceso al cannabis medicinal. Continuaré promoviendo el autocultivo y las organizaciones por nuevas políticas de drogas.
Me comprometo también a exigir más recursos -60 millones de dólares al menos- para prevención de drogas no sólo en el SENDA sino también en una División del Ministerio de Salud que complemente este trabajo.
Debemos continuar fortaleciendo la organización de la ciudadanía para concretar y asignar recursos a éste tipo de propuestas.
A difundir."
237,63,gabriel-boric-font,
238,55,gabriel-boric-font,
239,52,gabriel-boric-font,
240,2,gabriel-boric-font,
241,21,gabriel-boric-font,
242,175,gabriel-boric-font,
243,160,veronica-garrido-bello,
244,321,veronica-garrido-bello,
245,316,gladys-lorena-palma-vallejos,"* Apoyo el autocultivo y despenalizacion del consumo de marihuana tanto medicinal como recreativa.
* Promover políticas de educación para reducir  riesgos y daños de todo tipo en materias de salud, social 
   y descriminalización de su uso.
* Avanzar hacia una Ley de Cannabis"
246,63,gladys-lorena-palma-vallejos,"Apoyo la rebaja, para que la remuneración no supere los 15 sueldos mínimos"
247,63,alexander-gabriel-aranguiz-meza,Rebajar la dieta a la mitad de todo el aparato público y poder reinvertir en políticas públicas el excedente.
248,316,alexander-gabriel-aranguiz-meza,A reformar la ley 20000 revisar el modelo latino de drogas. Al autocultivo y consumo.
249,316,claudio-patricio-montero-arratia,
250,316,richard-manuel-pincheira-aedo,
251,208,richard-manuel-pincheira-aedo,
252,317,pablo-andres-moya-nunez,Me comprometo a difundir la necesidad de cambiar la actual constitución a través de una asamblea constituyente convocada mediante plebiscito nacional. En esta convocatoria debemos incluir mucha educación popular puesto que las últimas 2 décadas la población no cuenta con educación cívica o formación ciudadana. Explicar el poder constituyente y discutir la actual estructura del estado. La autonomía territorial para poner fin a todo centralismo debe incentivar la necesidad de un nuevo orden constitucional.
253,175,michael-gabriel-guerra-munoz,"Creo y tengo la convicción, que la única manera de terminar con esta problemática, es legislando en favor de aquellos que mas lo necesitan, fomentando en todo momento el aumento de los recursos y creando programas de investigación que se enfoquen al suicido infantil y de adolescentes, trabajar y generar convenios de comunicación activa y participativa en conjunto con el MINEDUC y demás instituciones de relevancia en este tema, y lo mas importante tener programas de salud dignos para aquellos que viven en localidades alejadas del gran santiago, sectores que en muchos casos solo hay consultorios y que no cuentan con especialidades medicas, para combatir este tipo de patologías mentales, en fin destinar recursos y fomentar un trabajo permanente y real en torno al tema."
254,42,michael-gabriel-guerra-munoz,"El número de femicidios en Chile va en aumento, de hecho el 48% de muertes por femicidios esta concentrada en la Región Metropolitana, y el resto en regiones, hoy en día las penas para este tipo de delitos es baja, en donde la justicia al momento de condenar, considera el móvil o motivo que tenia el agresor, así como su condición sentimental con la victima (pololos, matrimonio, convivientes y otros), al momento de producido el delito.
Toda agresión hacia las mujeres debe ser castigada penalmente, en todos sus grados de aplicabilidad, ya que muchas veces no solo existe agresión física, si no que también hay agresión psicológica y/o verbal, la que afecta tremendamente la autoestima de la victima, la que en algunos casos lleva al suicidio.
Me comprometo a legislar para terminar y castigar duramente a los agresores de mujeres , me comprometo a legislar en favor de perfeccionar las leyes actuales que castigan la violencia intrafamiliar, a crear programas de apoyo para mujeres maltratadas física y psicologicamente."
255,63,juan-pablo-paonessa-barria,Nos comprometemos a presentar y/o apoyar un proyecto de ley que baje la dieta parlamentaria de diputados y senadores en por lo menos un 50% del monto actual.
256,175,ximena-onate-avila,"Contamos con un cúmulo relevante de investigación en esta materia, lo central es:
Poner a la infancia como sujeto de derecho y responsabilidad transversal del Estado desde los primeros años de vida y de modo integral,
Articular las instituciones en estrategias pertinentes a la realidad local en la prevención
Fortalecer la salud primaria para una adecuada detección y respuesta oportuna"
